page_id,url,img,name,cardType,color,hp,bloom,arts1_text,arts1_icons,arts1_tokkou,arts2_text,arts2_icons,arts2_tokkou,arts3_text,arts3_icons,arts3_tokkou,keyword1,keyword2,keywordEffect,baton,extra,rarity,number,product1,product2,product3,product4,product5,tag1,tag2,tag3,tag4,tag5,tag6
49,https://hololive-official-cardgame.com/cardlist/?id=49&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-017_C.png,七詩ムメイ,ホロメン,白,130,1st,一緒にお出かけ　20,白,,コーヒーブレイク　60,"白,◇",,,,,,,,1,,C,hBP01-017,ブルーミングレディアンス,,,,,#EN,#Promise,#トリ,#絵,,
50,https://hololive-official-cardgame.com/cardlist/?id=50&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-018_C.png,七詩ムメイ,ホロメン,白,120,1st,"思い出の欠片　20+
自分のデッキの上から1枚を公開できる:公開したカードが#Promiseを持つ時、このアーツ+20。そして公開したカードを手札に加える。",白,,,,,,,,,,,1,,C,hBP01-018,ブルーミングレディアンス,,,,,#EN,#Promise,#トリ,#絵,,
51,https://hololive-official-cardgame.com/cardlist/?id=51&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-019_U.png,七詩ムメイ,ホロメン,白,100,1st,いつも応援してくれてありがとう！　30,◇,,,,,,,,みんなと歌って踊りたい！,,DebutからBloomした時、自分のデッキから、#Promiseを持つBuzz以外の[Debutホロメンか1stホロメン]1枚を公開し、手札に加える。そしてデッキをシャッフルする。,1,,U,hBP01-019,ブルーミングレディアンス,,,,,#EN,#Promise,#トリ,#絵,,
204,https://hololive-official-cardgame.com/cardlist/?id=204&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBP01-019_P.png,七詩ムメイ,ホロメン,白,100,1st,いつも応援してくれてありがとう！　30,◇,,,,,,,,みんなと歌って踊りたい！,,DebutからBloomした時、自分のデッキから、#Promiseを持つBuzz以外の[Debutホロメンか1stホロメン]1枚を公開し、手札に加える。そしてデッキをシャッフルする。,1,,P,hBP01-019,PRカード,,,,,#EN,#Promise,#トリ,#絵,,
52,https://hololive-official-cardgame.com/cardlist/?id=52&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-020_R.png,七詩ムメイ,ホロメン,白,190,2nd,"みんな一緒に　70+
このターンの間、自分のバックホロメン1人につき、自分のセンターホロメンとコラボホロメンのアーツ+10。","白,◇,◇",紫+50,,,,,,,あの日の約束,,自分のデッキから、#Promiseを持つホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。,2,,R,hBP01-020,ブルーミングレディアンス,,,,,#EN,#Promise,#トリ,#絵,,
487,https://hololive-official-cardgame.com/cardlist/?id=487&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBP01-020_P.png,七詩ムメイ,ホロメン,白,190,2nd,"みんな一緒に　70+
このターンの間、自分のバックホロメン1人につき、自分のセンターホロメンとコラボホロメンのアーツ+10。","白,◇,◇",紫+50,,,,,,,あの日の約束,,自分のデッキから、#Promiseを持つホロメン1枚を公開し、手札に加える。そしてデッキをシャッフルする。,2,,P,hBP01-020,PRカード,,,,,#EN,#Promise,#トリ,#絵,,
53,https://hololive-official-cardgame.com/cardlist/?id=53&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-021_C.png,ときのそら,ホロメン,白,100,Debut,みんな～こんそめ～　30,白,,,,,,,,,,,1,このホロメンはデッキに何枚でも入れられる,C,hBP01-021,ブルーミングレディアンス,,,,,#JP,#0期生,#歌,,,
189,https://hololive-official-cardgame.com/cardlist/?id=189&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBP01-021_P.png,ときのそら,ホロメン,白,100,Debut,みんな～こんそめ～　30,白,,,,,,,,,,,1,このホロメンはデッキに何枚でも入れられる,P,hBP01-021,PRカード,,,,,#JP,#0期生,#歌,,,
54,https://hololive-official-cardgame.com/cardlist/?id=54&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-022_U.png,ときのそら,ホロメン,白,110,1st,最高の一日にしようね♪　40,◇,,,,,,,,楽しむ準備はできてる！？,,自分のデッキを1枚引く。,1,,U,hBP01-022,ブルーミングレディアンス,,,,,#JP,#0期生,#歌,,,
205,https://hololive-official-cardgame.com/cardlist/?id=205&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBP01-022_P.png,ときのそら,ホロメン,白,110,1st,最高の一日にしようね♪　40,◇,,,,,,,,楽しむ準備はできてる！？,,自分のデッキを1枚引く。,1,,P,hBP01-022,PRカード,,,,,#JP,#0期生,#歌,,,
2032,https://hololive-official-cardgame.com/cardlist/?id=2032&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBP01-022_02_P.png,ときのそら,ホロメン,白,110,1st,最高の一日にしようね♪　40,◇,,,,,,,,楽しむ準備はできてる！？,,自分のデッキを1枚引く。,1,,P,hBP01-022,PRカード,,,,,#JP,#0期生,#歌,,,
55,https://hololive-official-cardgame.com/cardlist/?id=55&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-023_RR.png,ときのそら,ホロメン,白,210,2nd,"止まらねえぞ　80
サイコロを1回振れる:奇数の時、同じホロメンに、このアーツをもう1回使う（このアーツはそのホロメンがダウンするまで繰り返せる）。","白,白,◇",赤+50,,,,,,,私たちは前に向かって…！,,自分のデッキを2枚引く。,2,,RR,hBP01-023,ブルーミングレディアンス,,,,,#JP,#0期生,#歌,,,
56,https://hololive-official-cardgame.com/cardlist/?id=56&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-023_UR.png,ときのそら,ホロメン,白,210,2nd,"止まらねえぞ　80
サイコロを1回振れる:奇数の時、同じホロメンに、このアーツをもう1回使う（このアーツはそのホロメンがダウンするまで繰り返せる）。","白,白,◇",赤+50,,,,,,,私たちは前に向かって…！,,自分のデッキを2枚引く。,2,,UR,hBP01-023,ブルーミングレディアンス,,,,,#JP,#0期生,#歌,,,
57,https://hololive-official-cardgame.com/cardlist/?id=57&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-024_C.png,ベスティア・ゼータ,ホロメン,白,100,Debut,ミッションスタート　30,◇,,,,,,,,,,,1,このホロメンはデッキに何枚でも入れられる,C,hBP01-024,ブルーミングレディアンス,,,,,#ID,#ID3期生,,,,
177,https://hololive-official-cardgame.com/cardlist/?id=177&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBP01-024_P.png,ベスティア・ゼータ,ホロメン,白,100,Debut,ミッションスタート　30,◇,,,,,,,,,,,1,このホロメンはデッキに何枚でも入れられる,P,hBP01-024,PRカード,,,,,#ID,#ID3期生,,,,
1897,https://hololive-official-cardgame.com/cardlist/?id=1897&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP07/hBP01-024_02_C.png,ベスティア・ゼータ,ホロメン,白,100,Debut,ミッションスタート　30,◇,,,,,,,,,,,1,このホロメンはデッキに何枚でも入れられる,C,hBP01-024,ディーヴァフィーバー,,,,,#ID,#ID3期生,,,,
2020,https://hololive-official-cardgame.com/cardlist/?id=2020&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP07/hBP01-024_HR.png,ベスティア・ゼータ,ホロメン,白,100,Debut,ミッションスタート　30,◇,,,,,,,,,,,1,このホロメンはデッキに何枚でも入れられる,HR,hBP01-024,ディーヴァフィーバー,,,,,#ID,#ID3期生,,,,
58,https://hololive-official-cardgame.com/cardlist/?id=58&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-025_C.png,ベスティア・ゼータ,ホロメン,白,160,1st,温泉は飲まないでね！　40,白,,温泉でくつろぐ一日を　60,"白,◇",,,,,,,,1,,C,hBP01-025,ブルーミングレディアンス,,,,,#ID,#ID3期生,,,,
59,https://hololive-official-cardgame.com/cardlist/?id=59&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-026_U.png,ベスティア・ゼータ,ホロメン,白,110,1st,ステージみんな「私のもの」　30,◇,,,,,,,,新たな運命,,DebutからBloomした時、自分のデッキから、#ID3期生を持つBuzz以外の[Debutホロメンか1stホロメン]1枚を公開し、手札に加える。そしてデッキをシャッフルする。,1,,U,hBP01-026,ブルーミングレディアンス,,,,,#ID,#ID3期生,,,,
206,https://hololive-official-cardgame.com/cardlist/?id=206&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBP01-026_P.png,ベスティア・ゼータ,ホロメン,白,110,1st,ステージみんな「私のもの」　30,◇,,,,,,,,新たな運命,,DebutからBloomした時、自分のデッキから、#ID3期生を持つBuzz以外の[Debutホロメンか1stホロメン]1枚を公開し、手札に加える。そしてデッキをシャッフルする。,1,,P,hBP01-026,PRカード,,,,,#ID,#ID3期生,,,,
60,https://hololive-official-cardgame.com/cardlist/?id=60&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-027_RR.png,ベスティア・ゼータ,Buzzホロメン,白,200,1st,"アクセスコード:ID　70+
自分のセンターホロメンが#IDを持つ時、このアーツ+50。","白,◇,◇",,,,,,,,V.7,,[ターンに1回][コラボポジション限定]自分のホロメンが相手からダメージを受ける時、サイコロを1回振れる:奇数の時、そのダメージを受けない。,2,このホロメンがダウンした時、自分のライフ-2,RR,hBP01-027,ブルーミングレディアンス,,,,,#ID,#ID3期生,,,,
61,https://hololive-official-cardgame.com/cardlist/?id=61&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-027_UR.png,ベスティア・ゼータ,Buzzホロメン,白,200,1st,"アクセスコード:ID　70+
自分のセンターホロメンが#IDを持つ時、このアーツ+50。","白,◇,◇",,,,,,,,V.7,,[ターンに1回][コラボポジション限定]自分のホロメンが相手からダメージを受ける時、サイコロを1回振れる:奇数の時、そのダメージを受けない。,2,このホロメンがダウンした時、自分のライフ-2,UR,hBP01-027,ブルーミングレディアンス,,,,,#ID,#ID3期生,,,,
62,https://hololive-official-cardgame.com/cardlist/?id=62&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-028_C.png,IRyS,ホロメン,白,100,Debut,ハイRyS！　30,◇,,,,,,,,,,,1,このホロメンはデッキに何枚でも入れられる,C,hBP01-028,ブルーミングレディアンス,,,,,#EN,#Promise,#歌,,,
509,https://hololive-official-cardgame.com/cardlist/?id=509&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBP01-028_P.png,IRyS,ホロメン,白,100,Debut,ハイRyS！　30,◇,,,,,,,,,,,1,このホロメンはデッキに何枚でも入れられる,P,hBP01-028,PRカード,,,,,#EN,#Promise,#歌,,,
63,https://hololive-official-cardgame.com/cardlist/?id=63&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-029_C.png,IRyS,ホロメン,白,160,1st,清楚なネフィリムです！　50,"白,◇",,,,,,,,,,,1,,C,hBP01-029,ブルーミングレディアンス,,,,,#EN,#Promise,#歌,,,
64,https://hololive-official-cardgame.com/cardlist/?id=64&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-030_U.png,IRyS,ホロメン,白,110,1st,一生懸命歌うから見ててね！　40,◇,,,,,,,,ステージを希望で包もう！,,このターンの間、自分の#Promiseを持つ[センターホロメンとコラボホロメン]のアーツ+30。,1,,U,hBP01-030,ブルーミングレディアンス,,,,,#EN,#Promise,#歌,,,
207,https://hololive-official-cardgame.com/cardlist/?id=207&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBP01-030_P.png,IRyS,ホロメン,白,110,1st,一生懸命歌うから見ててね！　40,◇,,,,,,,,ステージを希望で包もう！,,このターンの間、自分の#Promiseを持つ[センターホロメンとコラボホロメン]のアーツ+30。,1,,P,hBP01-030,PRカード,,,,,#EN,#Promise,#歌,,,
